159743	706558
292863	246784
382463	336383
412670	461311
930301	619517
246271	819197
233471	929277
191999	1089532
223231	1810426
319999	565758
322047	228351
3757042	242175
403455	312319
724989	299007
352767	294399
290303	302079
260608	313854
270335	353790
295935	816125
315391	397823
315903	396799
261631	442878
273919	449535
294399	451070
327679	472574
305663	491006
324095	515582
339967	536062
786429	564222
363518	574974
373759	602622
390143	1951737
414206	638462
412159	666110
431103	1061372
445950	703486
1007612	1148412
472575	755197
490494	762878
495102	811005
513022	849405
532479	860669
538110	842237
545790	1161724
564222	1004540
602622	2062840
599550	1140731
626173	991229
614909	3053557
631806	1134076
665086	1241595
662014	1866745
680958	2060792
696830	1373691
702973	1313787
13250001	1339900
735741	3470324
750589	1648122
767485	1453051
890365	1404923
794109	1317371
2550774	2876406
819709	31140752
846845	1293308
853501	1493498
859645	1545722
905725	1516026
897533	2217464
912381	1951225
949244	1997817
991740	1805818
945149	1934329
20472247	1589754
3858930	1735674
1159675	1697274
1640954	2753014
1088508	1885689
1118716	1883641
1114108	1927162
1105404	2165240
1131516	2136056
1124860	1957881
14986186	869373
1158140	846845
1188348	855037
1204731	2973174
1216507	928765
1245691	889341
1422843	919549
1251836	904189
1262587	941565
1276411	932349
1302523	935933
1314299	934397
1373691	4373488
1374203	2714614
1425403	974332
1395707	1104380
1404411	1013245
1398267	1093628
